trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2022-08-04,809.0,HOLD,close 809.000 above trailing stop 774.723,IN_POSITION,2022-07-20,798.0,774.7227661290943,1.0
2022-08-07,809.0,HOLD,close 809.000 above trailing stop 776.314,IN_POSITION,2022-07-20,798.0,776.3139971198733,1.0
2022-08-08,813.0,HOLD,close 813.000 above trailing stop 777.792,IN_POSITION,2022-07-20,798.0,777.791568754168,1.0
2022-08-09,807.0,HOLD,close 807.000 above trailing stop 778.664,IN_POSITION,2022-07-20,798.0,778.6635995574418,1.0
2022-08-10,805.0,HOLD,close 805.000 above trailing stop 778.723,IN_POSITION,2022-07-20,798.0,778.7233424461959,1.0
2022-08-11,808.0,HOLD,close 808.000 above trailing stop 781.029,IN_POSITION,2022-07-20,798.0,781.0288179857533,1.0
2022-08-14,802.0,HOLD,close 802.000 above trailing stop 782.670,IN_POSITION,2022-07-20,798.0,782.6696167010567,1.0
2022-08-15,801.0,HOLD,close 801.000 above trailing stop 782.693,IN_POSITION,2022-07-20,798.0,782.693215508124,1.0
2022-08-16,799.0,HOLD,close 799.000 above trailing stop 782.693,IN_POSITION,2022-07-20,798.0,782.693215508124,1.0
2022-08-17,806.0,HOLD,close 806.000 above trailing stop 782.807,IN_POSITION,2022-07-20,798.0,782.8069052085356,1.0
2022-08-18,801.0,HOLD,close 801.000 above trailing stop 783.821,IN_POSITION,2022-07-20,798.0,783.8206976936401,1.0
2022-08-21,809.0,HOLD,close 809.000 above trailing stop 784.512,IN_POSITION,2022-07-20,798.0,784.5120764298086,1.0
2022-08-22,811.0,HOLD,close 811.000 above trailing stop 784.512,IN_POSITION,2022-07-20,798.0,784.5120764298086,1.0
2022-08-23,820.0,HOLD,close 820.000 above trailing stop 784.512,IN_POSITION,2022-07-20,798.0,784.5120764298086,1.0
2022-08-24,820.0,HOLD,close 820.000 above trailing stop 784.512,IN_POSITION,2022-07-20,798.0,784.5120764298086,1.0
